kdbRecvTime,x
2023-03-02D20:46:21.000000000,5415
2023-03-02D20:46:21.250000000,3514
2023-03-02D20:46:21.500000000,5421
2023-03-02D20:46:21.750000000,7729
2023-03-02D20:46:22.000000000,4056
2023-03-02D20:46:22.250000000,3587
2023-03-02D20:46:22.500000000,20432
2023-03-02D20:46:22.750000000,5628
2023-03-02D20:46:23.000000000,5055
2023-03-02D20:46:23.250000000,20129
2023-03-02D20:46:23.500000000,7609
2023-03-02D20:46:23.750000000,5987
2023-03-02D20:46:24.000000000,9935
2023-03-02D20:46:24.250000000,3568
2023-03-02D20:46:24.500000000,9411
2023-03-02D20:46:24.750000000,33876
2023-03-02D20:46:25.000000000,8352
2023-03-02D20:46:25.250000000,4600
2023-03-02D20:46:25.500000000,17153
2023-03-02D20:46:25.750000000,6030
2023-03-02D20:46:26.000000000,6689
2023-03-02D20:46:26.250000000,8943
2023-03-02D20:46:26.500000000,8276
2023-03-02D20:46:26.750000000,3943
2023-03-02D20:46:27.000000000,10574
2023-03-02D20:46:27.250000000,6485
2023-03-02D20:46:27.500000000,5880
2023-03-02D20:46:27.750000000,4651
2023-03-02D20:46:28.000000000,9522
2023-03-02D20:46:28.250000000,3923
2023-03-02D20:46:28.500000000,8501
2023-03-02D20:46:28.750000000,8843
2023-03-02D20:46:29.000000000,5976
2023-03-02D20:46:29.250000000,4588
2023-03-02D20:46:29.500000000,12049
2023-03-02D20:46:29.750000000,7307
2023-03-02D20:46:30.000000000,4399
2023-03-02D20:46:30.250000000,10060
2023-03-02D20:46:30.500000000,23162
2023-03-02D20:46:30.750000000,9621
2023-03-02D20:46:31.000000000,12475
2023-03-02D20:46:31.250000000,7500
2023-03-02D20:46:31.500000000,9383
2023-03-02D20:46:31.750000000,8827
2023-03-02D20:46:32.000000000,7072
2023-03-02D20:46:32.250000000,4760
2023-03-02D20:46:32.500000000,6570
2023-03-02D20:46:32.750000000,5017
2023-03-02D20:46:33.000000000,5477
2023-03-02D20:46:33.250000000,7201
2023-03-02D20:46:33.500000000,3773
2023-03-02D20:46:33.750000000,3933
2023-03-02D20:46:34.000000000,10265
2023-03-02D20:46:34.250000000,17900
2023-03-02D20:46:34.500000000,9628
2023-03-02D20:46:34.750000000,12082
2023-03-02D20:46:35.000000000,4941
2023-03-02D20:46:35.250000000,8307
2023-03-02D20:46:35.500000000,8761
